IN,CD,JJR,NN,NN,TO,VB,PRP
NN,JJ,IN,PRP,WP,PRP,VBD,VB
RB,PRP,IN,NN,PRP,MD,VB,DT
IN,CD,JJR,NN,NN,TO,VB,PRP
VB,RP,IN,DT,JJ,NN,NN,IN
PRP,JJ,JJ,NNS,VB,PRP$,NN,IN
JJ,NN,VBD,RB,VBN,IN,DT,NN
VB,RP,IN,DT,JJ,NN,NN,IN
NN,VBZ,DT,NN,RB,VB,DT,NN
NN,VBD,RB,CC,VB,DT,NN,NN
NN,JJ,IN,PRP,WP,PRP,VBD,VB
CC,IN,DT,VBZ,NN,TO,VB,PRP
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
VB,RP,RP,JJ,VBG,IN,DT,NN
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
IN,PRP,VBP,PRP,RB,JJ,VBP,RB
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
PRP,VB,VBG,IN,NNS,CC,DT,JJ
NN,VB,IN,JJ,RB,IN,JJ,NN
IN,JJ,VBP,VBP,WP,JJ,NN,VBZ
NNS,VBP,RP,VBG,RP,IN,PRP$,NN
DT,NNS,IN,JJ,NN,CC,NN,NN
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
NNS,IN,NNS,PRP$,NN,VBP,NNS,VBP
PRP,VBD,RB,VBD,NN,NN,VBZ,NN
JJ,NN,IN,DT,JJ,NN,NNS,RB
NN,DT,NN,IN,PRP,VBP,VB,WP
RB,DT,JJ,NN,NN,JJ,JJ,NNS
PRP,VBD,CD,IN,PRP,VBZ,JJ,NN
VBD,NN,IN,PDT,DT,NNS,VBP,NN
PRP,VBD,TO,NN,PRP,VBD,DT,RB
VBD,VBN,TO,VB,PRP,VBD,JJ,NNS
(,NN,IN,NN,NN,TO,VB,)
PRP,MD,VB,PRP,IN,PRP,VBD,RB
PRP,MD,VB,PRP,IN,PRP,VBD,RB
PRP,MD,VB,PRP,IN,PRP,VBD,RB
NN,VBD,DT,NN,NN,VBD,DT,NN
VBN,RP,NN,VBZ,JJ,RB,DT,JJ
VBG,NNS,NNS,IN,PRP,VBP,JJ,NNS
DT,RBS,JJS,JJ,NN,NN,NN,NN
NN,MD,VB,DT,NN,JJ,NN,NN
RB,NN,RB,VBD,JJ,NN,VBD,RBR
VB,PRP,VB,PRP,VB,PRP,VBG,RBR
DT,JJ,NN,IN,DT,NN,NNS,VBP
NN,NN,NN,VBN,IN,DT,NN,NN
NN,VBP,PRP,VBP,PRP,DT,JJ,NN
JJ,VBP,RB,VBN,PRP,IN,NN,VBD
NN,NN,RB,RB,VB,DT,NN,NN
JJ,VBP,RB,VBN,JJ,IN,NNS,VBD
IN,DT,NN,NN,NN,VBZ,TO,VB
